City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
76,Jamestown,US,80.24,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
77,Morropon,PE,84.61,overcast clouds,-5.1822,-79.9689,panaderia jeffeson
80,Teahupoo,PF,80.56,clear sky,-17.8333,-149.2667,Vanira Lodge
82,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
83,San Fernando,PH,82.13,broken clouds,15.0286,120.6898,Maharlika Hostel
84,San Lorenzo,PY,88.74,clear sky,-25.3333,-57.5333,Canarias Hotel
85,Mineiros,BR,76.75,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
86,Namatanai,PG,79.54,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
87,Lorengau,PG,81.37,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Realeza,BR,73.29,clear sky,-25.7689,-53.5325,Hotel Renascer
89,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
90,Itarema,BR,78.69,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,Odweyne,SO,70.75,overcast clouds,9.4092,45.064,Eng Hiirey House
94,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
100,Bandarbeyla,SO,81.5,overcast clouds,9.4942,50.8122,JABIR HOTEL
102,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Havelock,US,82.36,clear sky,34.8791,-76.9013,Sherwood Motel
106,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
108,Abadan,IR,73.35,scattered clouds,30.3392,48.3043,سالن مراسمات خانه معلم
111,Manokwari,ID,79.36,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
112,Samarinda,ID,73.22,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
115,Novo Aripuana,BR,81.07,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
116,Tautira,PF,80.83,clear sky,-17.7333,-149.15,Pension Oaoa
122,Labrea,BR,85.82,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
124,Brejo,BR,75.6,overcast clouds,-3.6844,-42.7503,Hotel Santa Luzia
129,Beloha,MG,75.22,overcast clouds,-25.1667,45.05,
131,Gorontalo,ID,74.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
136,Kieta,PG,80.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
138,Mataram,ID,76.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
141,Sao Filipe,CV,76.8,clear sky,14.8961,-24.4956,Hotel Xaguate
145,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
146,Altamira,BR,86.09,few clouds,-3.2033,-52.2064,Requinte Hotel
