City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Half Moon Bay,US,2022-04-25 21:21:45,37.4636,-122.4286,78.91,64,40,23.02,scattered clouds
229,Basco,PH,2022-04-25 21:21:46,20.4487,121.9702,81.59,85,2,17.83,clear sky
230,Bontang,ID,2022-04-25 21:21:46,0.1333,117.5,75.96,93,100,7.31,overcast clouds
231,Katsuura,JP,2022-04-25 21:21:47,35.1333,140.3,67.03,92,99,6.06,overcast clouds
232,Marawi,PH,2022-04-25 21:21:47,7.9986,124.2928,69.93,91,100,2.77,overcast clouds
233,Kamenka,RU,2022-04-25 21:21:47,51.3223,42.7678,56.03,75,100,8.1,overcast clouds
234,Hay River,CA,2022-04-25 21:21:48,60.8156,-115.7999,49.98,43,100,13.8,overcast clouds
235,Yellowknife,CA,2022-04-25 21:17:44,62.456,-114.3525,43.32,45,75,11.5,broken clouds
236,Richards Bay,ZA,2022-04-25 21:19:14,-28.783,32.0377,68.18,72,92,17.0,overcast clouds
237,Male,MV,2022-04-25 21:21:49,4.1748,73.5089,84.07,71,100,4.38,overcast clouds
238,Airai,TL,2022-04-25 21:19:30,-8.9266,125.4092,57.31,73,48,1.21,scattered clouds
239,Touros,BR,2022-04-25 21:21:49,-5.1989,-35.4608,79.11,82,21,11.54,few clouds
240,San Quintin,MX,2022-04-25 21:21:50,30.4833,-115.95,75.02,32,0,11.18,clear sky
241,Provideniya,RU,2022-04-25 21:21:50,64.3833,-173.3,26.71,80,75,20.13,light snow
242,Faanui,PF,2022-04-25 21:21:50,-16.4833,-151.75,81.39,72,10,10.47,clear sky
243,Lebu,CL,2022-04-25 21:21:51,-37.6167,-73.65,55.31,76,100,23.4,overcast clouds
244,Mudgee,AU,2022-04-25 21:18:31,-32.5943,149.5871,55.45,94,100,5.75,overcast clouds
245,Erzin,TR,2022-04-25 21:21:51,36.9559,36.2,64.83,58,1,1.9,clear sky
246,Beringovskiy,RU,2022-04-25 21:21:52,63.05,179.3167,28.92,96,100,24.99,snow
247,Saint-Georges,GD,2022-04-25 21:21:52,12.0564,-61.7485,82.08,74,75,11.5,broken clouds
248,Georgetown,MY,2022-04-25 21:20:27,5.4112,100.3354,80.53,92,20,2.3,few clouds
249,Qurayyat,SA,2022-04-25 21:21:53,31.3318,37.3428,69.98,24,0,4.61,clear sky
250,Carutapera,BR,2022-04-25 21:21:53,-1.195,-46.02,77.99,88,49,7.31,scattered clouds
251,Margate,GB,2022-04-25 21:21:54,51.3813,1.3862,49.3,84,71,7.0,broken clouds
252,Santa Ines,BR,2022-04-25 21:21:54,-3.6667,-45.38,76.26,93,78,3.18,broken clouds
253,Isangel,VU,2022-04-25 21:21:55,-19.55,169.2667,77.02,71,100,16.71,overcast clouds
254,Shimoda,JP,2022-04-25 21:21:55,34.6667,138.95,65.1,90,100,1.36,overcast clouds
255,Trincomalee,LK,2022-04-25 21:21:15,8.5711,81.2335,82.53,77,96,6.76,overcast clouds
256,Longyearbyen,SJ,2022-04-25 21:21:56,78.2186,15.6401,3.04,60,40,16.11,scattered clouds
257,Kawalu,ID,2022-04-25 21:21:56,-7.3817,108.2082,72.88,91,96,2.68,overcast clouds
258,Rosarito,MX,2022-04-25 21:21:57,32.3333,-117.0333,93.42,38,18,16.31,few clouds
259,Sorland,NO,2022-04-25 21:21:57,67.667,12.6934,34.39,65,100,25.61,light snow
